Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
OMX,HMUZ,-10.0,1,HMUZ,15.0
OMX-SWE,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
OMXESG,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,13.0
OMXSB,HMUZ,-5.0,1,HMUZ,-14.0
PALLAD,HMUZ,-30.0,1,HMUZ,26.0
PIPELINE,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,27.0
PLAT,FJNV,-30.0,1,FJNV,26.0
PLAT-JPN,GJMQVZ,-5.0,1,GJMQVZ,24.0
PLAT-JPN_mini,GJMQVZ,-5.0,1,GJMQVZ,23.0
PLZEUR,HMUZ,-5.0,1,HMUZ,12.0
R1000,HMUZ,-10.0,1,HMUZ,18.0
R1000GROWTH-mini,HMUZ,-10.0,1,HMUZ,18.0
R1000_mini,HMUZ,-10.0,1,HMUZ,18.0
RAPESEED,GKQX,-60.0,-1,GKQX,27.0
REDWHEAT,HKNUZ,-90.0,-1,HKNUZ,14.0
